Season,Round,ID,Date,Enemy,G1_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G2_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G3_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G4_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G5_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G6_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G7_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G8_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G9_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player
第1回,1,1,2021/11/03,MS NTD,nobu,E,l,,,みんち,R,w,,,カニカマ,W,w,,,エリス,V,w,,,nanashi,D,l,,,nanashi,D,l,,,nanashi,D,l,,,nanashi,D,l,,,,,,,
第1回,2,2,2021/11/07,FTF,ホーク,E,l,,,カニカマ,R,l,,,nobu,W,l,,,エリス,D,l,,,アイリア,Nm,l,,,,,,,,,,,,,,,,,,,,,,
第1回,3,3,2021/11/11,皇,nobu,E,w,,,みんち,R,l,,,みんち,R,w,,,Liel,W,w,,,ありす,B,l,,,ありす,B,w,,,カニカマ,Nm,l,,,カニカマ,Nm,l,,,カニカマ,Nm,w,,
第1回,4,4,2021/11/15,DTG,ホーク,E,l,,,Liel,W,w,,,nanashi,D,l,,,みかにゃん,B,l,,,カニカマ,Nm,l,,,カニカマ,Nm,l,,,,,,,,,,,,,,,,,
第1回,5,5,2021/11/19,τCet,nobu,E,w,,,Liel,W,l,,,Liel,W,w,,,nanashi,D,w,,,カニカマ,V,l,,,カニカマ,V,l,,,カニカマ,V,w,,,ありす,B,w,,,,,,,
第1回,6,6,2021/11/23,W&M,はる,E,l,,,はる,E,l,,,はる,E,w,,,さめにき,R,l,,,さめにき,R,l,,,さめにき,R,w,,,みんち,D,w,,,エリス,Nc,w,,,アイリア,Nm,w,,
第1回,7,7,2021/11/29,.Lymnps,nobu,E,w,,,みんち,R,w,,,エリス,Nc,l,,,エリス,Nc,w,,,カニカマ,V,w,,,ホーク,B,w,,,,,,,,,,,,,,,,,
第2回,1,8,2022/01/28,TMT,nobu,E,w,,,poke,Nc,w,,,カニカマ,V,w,,,ありす,B,l,,,ありす,B,w,,,くろっち,Nm,w,,,,,,,,,,,,,,,,,
第2回,2,9,2022/02/05,ESL,nobu,E,l,,,nobu,E,l,,,nobu,E,w,,,みんち,R,l,,,みんち,R,l,,,みんち,R,w,,,nanashi,D,l,,,nanashi,D,w,,,エリス,Nc,l,,
第2回,3,10,2022/02/09,EEC,久遠,E,l,,,久遠,E,w,,,nanashi,D,w,,,poke,Nc,w,,,カニカマ,B,w,,,nobu,W,l,,,nobu,W,l,,,nobu,W,l,,,nobu,W,l,,
第2回,4,11,2022/02/13,"""朱""窓",nobu,E,w,,,nanashi,D,l,,,poke,Nc,l,,,ありす,B,l,,,ありす,B,w,,,くろっち,Nm,l,,,くろっち,Nm,l,,,,,,,,,,,,
第2回,5,12,2022/02/17,DTG,nobu,E,w,,,みんち,R,w,,,さくちゃ,D,w,,,poke,Nc,l,,,poke,Nc,w,,,カニカマ,B,w,,,,,,,,,,,,,,,,,
